"filename", "language", "JavaScript", "CSS", "SCSS", "comment", "blank", "total"
"c:\Users\PouyA\Desktop\Prog\bilitjassrnew\src\pages\panelnew\manager\price-handling\Row.jsx", "JavaScript", -85, 0, 0, 0, -6, -91
"c:\Users\PouyA\Desktop\Prog\bilitjassrnew\src\pages\panelnew\manager\profile\ChangePassword.components.jsx", "JavaScript", -45, 0, 0, 0, -3, -48
"c:\Users\PouyA\Desktop\Prog\bilitjassrnew\src\pages\panelnew\manager\profile\ComplateProfile.component.jsx", "JavaScript", -111, 0, 0, 0, -3, -114
"c:\Users\PouyA\Desktop\Prog\bilitjassrnew\src\pages\panelnew\manager\profile\EditProfile.component.jsx", "JavaScript", -153, 0, 0, 0, -4, -157
"c:\Users\PouyA\Desktop\Prog\bilitjassrnew\src\pages\panelnew\manager\profile\Profile.component.jsx", "JavaScript", -86, 0, 0, -5, -3, -94
"c:\Users\PouyA\Desktop\Prog\bilitjassrnew\src\pages\panelnew\manager\profile\RouteButtons.components.jsx", "JavaScript", -65, 0, 0, 0, -3, -68
"c:\Users\PouyA\Desktop\Prog\bilitjassrnew\src\pages\panelnew\manager\reports\Reports.jsx", "JavaScript", -183, 0, 0, -6, -8, -197
"c:\Users\PouyA\Desktop\Prog\bilitjassrnew\src\pages\panelnew\manager\reports\Reports.module.scss", "SCSS", 0, 0, -89, 0, -3, -92
"c:\Users\PouyA\Desktop\Prog\bilitjassrnew\src\pages\panelnew\manager\rule\AddRule.page.jsx", "JavaScript", -76, 0, 0, 0, -4, -80
"c:\Users\PouyA\Desktop\Prog\bilitjassrnew\src\pages\panelnew\manager\rule\ShowAllRules.page.jsx", "JavaScript", -103, 0, 0, 0, -5, -108
"c:\Users\PouyA\Desktop\Prog\bilitjassrnew\src\pages\panelnew\manager\rule\UpdateRule.page.jsx", "JavaScript", -78, 0, 0, 0, -7, -85
"c:\Users\PouyA\Desktop\Prog\bilitjassrnew\src\pages\panelnew\manager\sell-report\all-sell-report\DesktopFlightSellReport.jsx", "JavaScript", -388, 0, 0, -3, -24, -415
"c:\Users\PouyA\Desktop\Prog\bilitjassrnew\src\pages\panelnew\manager\sell-report\all-sell-report\EndRow.jsx", "JavaScript", -116, 0, 0, 0, -2, -118
"c:\Users\PouyA\Desktop\Prog\bilitjassrnew\src\pages\panelnew\manager\sell-report\all-sell-report\Filter.jsx", "JavaScript", -98, 0, 0, 0, -1, -99
